event,mu,pre_found,post_found,pre_ds,post_ds,pre_dw,post_dw,hits_pre,hits_post,merged_away,merge_transition
5376,10,False,False,,,,,1685,1684,1,0->0
5376,20,False,False,,,,,3398,3395,3,0->0
8286,0,False,False,,,,,16,14,2,0->0
8286,5,False,False,,,,,438,436,2,0->0
8286,10,False,False,,,,,2302,2300,2,0->0
8286,20,False,False,,,,,3024,3020,4,0->0
3230,0,False,False,,,,,16,14,2,0->0
3230,5,False,False,,,,,995,993,2,0->0
3230,10,False,False,,,,,2362,2360,2,0->0
3230,20,False,False,,,,,3638,3635,3,0->0
7574,0,False,False,,,,,16,15,1,0->0
7574,5,False,False,,,,,746,745,1,0->0
7574,10,False,False,,,,,1569,1568,1,0->0
7574,20,False,False,,,,,3036,3033,3,0->0
6300,0,False,False,,,,,16,14,2,0->0
6300,5,False,False,,,,,650,648,2,0->0
6300,10,False,False,,,,,989,987,2,0->0
6300,20,False,False,,,,,3105,3103,2,0->0
9182,0,False,False,,,,,16,15,1,0->0
