event,found,delta_s,delta_w,n_hits
9779.0,False,,,28
9789.0,False,,,22
9802.0,False,,,23
9821.0,False,,,28
9855.0,False,,,29
9856.0,False,,,25
9896.0,False,,,29
9907.0,True,0.010491594362582506,2.585799346060249,29
9908.0,True,0.02541383649605473,3.7491070621277327,22
9909.0,False,,,20
9933.0,False,,,24
9935.0,False,,,25
9949.0,False,,,26
9962.0,False,,,23
9964.0,False,,,27
9967.0,False,,,22
9979.0,True,0.0002849919736580618,2.7647796729885146,26
9996.0,False,,,26
