event,photon_pT,weight,found,pT_bin
410.0,12.491087007247677,0.01,False,5-20
411.0,20.4928729164716,0.01,False,>20
412.0,12.747834333016106,0.01,False,5-20
417.0,24.56321584307364,0.01,False,>20
418.0,13.394463530004916,0.01,False,5-20
419.0,18.13248891135143,0.01,False,5-20
420.0,19.877190312264247,0.01,False,5-20
421.0,13.66067598310027,0.01,False,5-20
422.0,28.71950911847805,0.01,False,>20
423.0,46.13463558860827,0.01,False,>20
424.0,5.988243900607253,0.01,False,5-20
425.0,61.98111736254656,0.01,False,>20
426.0,16.36860870404365,0.01,False,5-20
427.0,26.163861160221707,0.01,False,>20
428.0,17.661308009374537,0.01,False,5-20
429.0,28.39142513357213,0.01,False,>20
430.0,80.86877360001648,0.01,False,>20
432.0,15.908926190651025,0.01,False,5-20
433.0,48.060276547060255,0.01,False,>20
434.0,78.62370549005507,0.01,False,>20
435.0,12.374234966627233,0.01,False,5-20
437.0,34.84034170328614,0.01,False,>20
439.0,32.69415621132011,0.01,False,>20
440.0,12.904487769537786,0.01,False,5-20
441.0,11.479850080806948,0.01,False,5-20
443.0,11.055570442715853,0.01,False,5-20
444.0,9.698259987008244,0.01,False,5-20
445.0,11.181818770320362,0.01,False,5-20
446.0,383.4556342518929,0.01,False,>20
447.0,37.79663194405919,0.01,False,>20
450.0,41.1645545279673,0.01,False,>20
452.0,12.0570732192711,0.01,False,5-20
453.0,22.09149070149037,0.01,False,>20
454.0,26.273630152405683,0.01,False,>20
455.0,22.76774603198647,0.01,False,>20
457.0,19.763748586256177,0.01,False,5-20
458.0,55.72404713624773,0.01,False,>20
460.0,9.227501968935986,0.01,False,5-20
461.0,61.67371866023308,0.01,False,>20
462.0,16.275630497222632,0.01,False,5-20
464.0,73.36815277599996,0.01,False,>20
466.0,28.808411075716784,0.01,False,>20
467.0,9.79984023959998,0.01,False,5-20
468.0,105.46323394242384,0.01,False,>20
469.0,15.221749209871188,0.01,False,5-20
470.0,48.490890487869805,0.01,False,>20
472.0,23.19522689315088,0.01,False,>20
473.0,12.886850257428218,0.01,False,5-20
474.0,13.40907292400575,0.01,False,5-20
475.0,46.72817361092464,0.01,False,>20
476.0,80.72053581150413,0.01,False,>20
477.0,21.73721454364653,0.01,False,>20
478.0,24.206952360230083,0.01,False,>20
479.0,20.27497020165615,0.01,False,>20
480.0,17.403460175500953,0.01,False,5-20
481.0,9.757182244243184,0.01,False,5-20
483.0,67.62083536587643,0.01,False,>20
484.0,8.896594784009817,0.01,False,5-20
485.0,154.06928496195974,0.01,False,>20
486.0,13.563695940649191,0.01,False,5-20
488.0,15.729144436052104,0.01,False,5-20
489.0,12.491844034396053,0.01,False,5-20
492.0,97.1365720831407,0.01,False,>20
493.0,59.87155042546015,0.01,False,>20
494.0,30.358915646703128,0.01,False,>20
495.0,23.850419537119013,0.01,False,>20
496.0,45.65362715879396,0.01,False,>20
499.0,53.445983995849375,0.01,False,>20
500.0,9.079776477290077,0.01,False,5-20
501.0,11.709594862594416,0.01,False,5-20
502.0,58.99622031049168,0.01,False,>20
505.0,16.050880293763313,0.01,False,5-20
506.0,28.38616226389941,0.01,False,>20
507.0,14.356221294036034,0.01,False,5-20
510.0,31.67616652882948,0.01,False,>20
511.0,47.116443180292656,0.01,False,>20
512.0,11.560243115255693,0.01,False,5-20
513.0,15.979089150456586,0.01,False,5-20
514.0,38.82332600362286,0.01,False,>20
518.0,7.656171745104503,0.01,False,5-20
519.0,30.575359077992857,0.01,False,>20
520.0,14.807337086073538,0.01,False,5-20
521.0,36.0399280588608,0.01,False,>20
523.0,7.009935270065913,0.01,False,5-20
524.0,67.12189044755894,0.01,False,>20
526.0,16.106565183463754,0.01,False,5-20
527.0,10.527399406515356,0.01,False,5-20
528.0,32.01337710349973,0.01,False,>20
530.0,108.90534577256412,0.01,False,>20
531.0,114.52629672918688,0.01,False,>20
533.0,4.925513950533856,0.01,False,<5
535.0,12.36242759692546,0.01,False,5-20
536.0,5.2051496852342565,0.01,False,5-20
537.0,10.547911545468551,0.01,False,5-20
543.0,14.153109671579376,0.01,False,5-20
544.0,37.67875882709109,0.01,False,>20
545.0,20.631085211851843,0.01,False,>20
546.0,15.734992547862635,0.01,False,5-20
547.0,28.28422980769415,0.01,False,>20
548.0,20.007653706443524,0.01,False,>20
549.0,15.189352208860068,0.01,False,5-20
550.0,14.394337891557385,0.01,False,5-20
552.0,10.366161022338469,0.01,False,5-20
554.0,40.60350401021599,0.01,False,>20
555.0,12.770935433313234,0.01,False,5-20
557.0,23.17703030260249,0.01,False,>20
558.0,21.890481834859152,0.01,False,>20
559.0,17.77651989506322,0.01,False,5-20
560.0,9.263887552714486,0.01,False,5-20
561.0,15.28482248525768,0.01,False,5-20
562.0,12.168295218139056,0.01,False,5-20
563.0,10.470173531157297,0.01,False,5-20
565.0,13.801934658132394,0.01,False,5-20
566.0,23.57749911781517,0.01,False,>20
569.0,19.58336536759446,0.01,False,5-20
570.0,24.150527689145783,0.01,False,>20
571.0,38.86588509173551,0.01,False,>20
