event,n_valid_seeds,min_seed_ds,median_seed_ds,max_seed_ds
3988,1,0.22550738842165263,0.22550738842165263,0.22550738842165263
4018,1,0.45180058802086326,0.45180058802086326,0.45180058802086326
4050,1,0.03185892469115998,0.03185892469115998,0.03185892469115998
4080,1,0.44426216740884056,0.44426216740884056,0.44426216740884056
4112,1,0.45482484556544367,0.45482484556544367,0.45482484556544367
4115,1,0.45640185607050754,0.45640185607050754,0.45640185607050754
4121,1,0.2701965676267437,0.2701965676267437,0.2701965676267437
4135,1,0.23161564162625475,0.23161564162625475,0.23161564162625475
4170,1,0.3746969804293616,0.3746969804293616,0.3746969804293616
4181,1,0.34135615379613227,0.34135615379613227,0.34135615379613227
4184,1,0.44899332983559487,0.44899332983559487,0.44899332983559487
4201,1,0.407274321130546,0.407274321130546,0.407274321130546
4207,1,0.28956131326340495,0.28956131326340495,0.28956131326340495
4224,1,0.33536892229769383,0.33536892229769383,0.33536892229769383
4244,1,0.11662285717539736,0.11662285717539736,0.11662285717539736
4262,1,0.23463443429578545,0.23463443429578545,0.23463443429578545
4279,1,0.441397053293296,0.441397053293296,0.441397053293296
4309,1,0.12703311248360177,0.12703311248360177,0.12703311248360177
4337,1,0.3896259360850004,0.3896259360850004,0.3896259360850004
4369,1,0.22721477694752784,0.22721477694752784,0.22721477694752784
4401,1,0.44058465262966545,0.44058465262966545,0.44058465262966545
4402,1,0.20851473718398267,0.20851473718398267,0.20851473718398267
4429,1,0.4671282517080567,0.4671282517080567,0.4671282517080567
4454,1,0.49260849302521587,0.49260849302521587,0.49260849302521587
4458,1,0.16279173395472443,0.16279173395472443,0.16279173395472443
4464,1,0.4837785851849667,0.4837785851849667,0.4837785851849667
4476,1,0.40086247891026733,0.40086247891026733,0.40086247891026733
4510,1,0.38891906235854173,0.38891906235854173,0.38891906235854173
4543,1,0.47372031807193304,0.47372031807193304,0.47372031807193304
4556,1,0.3988107334693449,0.3988107334693449,0.3988107334693449
4568,1,0.25149432158406787,0.25149432158406787,0.25149432158406787
4572,1,0.32316022254287896,0.32316022254287896,0.32316022254287896
4573,1,0.39184127215153325,0.39184127215153325,0.39184127215153325
4625,1,0.2709994494887035,0.2709994494887035,0.2709994494887035
4632,1,0.46163084009383754,0.46163084009383754,0.46163084009383754
4648,1,0.03417256254969643,0.03417256254969643,0.03417256254969643
4687,1,0.14887879013011296,0.14887879013011296,0.14887879013011296
4729,1,0.42010311244556914,0.42010311244556914,0.42010311244556914
4730,1,0.404244414306936,0.404244414306936,0.404244414306936
4736,1,0.2576181689814755,0.2576181689814755,0.2576181689814755
4768,1,0.2776989068427424,0.2776989068427424,0.2776989068427424
4790,1,0.0017490861738371519,0.0017490861738371519,0.0017490861738371519
4792,1,0.42914860793032,0.42914860793032,0.42914860793032
4800,1,0.26445321712748704,0.26445321712748704,0.26445321712748704
4806,1,0.3578776310754656,0.3578776310754656,0.3578776310754656
4820,1,0.416035523302563,0.416035523302563,0.416035523302563
4835,1,0.39339606677777866,0.39339606677777866,0.39339606677777866
4872,1,0.3189356429157693,0.3189356429157693,0.3189356429157693
4904,1,0.44283907834315506,0.44283907834315506,0.44283907834315506
4949,1,0.4488062777280107,0.4488062777280107,0.4488062777280107
4960,1,0.2004261261335503,0.2004261261335503,0.2004261261335503
4968,1,0.378831622891324,0.378831622891324,0.378831622891324
4998,1,0.442356072307084,0.442356072307084,0.442356072307084
5001,1,0.25869931317657746,0.25869931317657746,0.25869931317657746
5052,1,0.38368376998879344,0.38368376998879344,0.38368376998879344
5064,1,0.41841378365136267,0.41841378365136267,0.41841378365136267
5067,1,0.41834807964189913,0.41834807964189913,0.41834807964189913
5076,1,0.49293499234053384,0.49293499234053384,0.49293499234053384
5108,1,0.4144835135881927,0.4144835135881927,0.4144835135881927
5123,1,0.18202838893829978,0.18202838893829978,0.18202838893829978
5129,1,0.22009137480975335,0.22009137480975335,0.22009137480975335
5139,1,0.3477337332491005,0.3477337332491005,0.3477337332491005
5157,1,0.07448259948806454,0.07448259948806454,0.07448259948806454
5168,1,0.22193543763719228,0.22193543763719228,0.22193543763719228
5182,1,0.4719314869632255,0.4719314869632255,0.4719314869632255
5190,1,0.4737867518694087,0.4737867518694087,0.4737867518694087
5212,1,0.4527322636647957,0.4527322636647957,0.4527322636647957
5215,1,0.3985698274242742,0.3985698274242742,0.3985698274242742
5225,1,0.1315063599374745,0.1315063599374745,0.1315063599374745
5246,1,0.32050150165383506,0.32050150165383506,0.32050150165383506
5249,1,0.31417610942707536,0.31417610942707536,0.31417610942707536
5257,1,0.4983860297361302,0.4983860297361302,0.4983860297361302
5275,1,0.19193879616577195,0.19193879616577195,0.19193879616577195
5303,1,0.33217773910348586,0.33217773910348586,0.33217773910348586
5347,1,0.08975406649327351,0.08975406649327351,0.08975406649327351
5401,1,0.09789556304691233,0.09789556304691233,0.09789556304691233
5413,1,0.2982433126076548,0.2982433126076548,0.2982433126076548
5432,1,0.24676611180789554,0.24676611180789554,0.24676611180789554
5436,1,0.42549717223620226,0.42549717223620226,0.42549717223620226
5446,1,0.37417488015658495,0.37417488015658495,0.37417488015658495
5506,1,0.18723509930913113,0.18723509930913113,0.18723509930913113
