event,mu,hard_found,pu_found,transition,hard_ds,pu_ds,hard_dw,pu_dw,hard_hits,combined_hits,pu_events
6502,20,False,False,0->0,,,,,16,2947,"573,37,818,604,57,408,993,853,426,867,610,120,892,307,459,282,986,983,625,238"
722,0,False,False,0->0,,,,,16,16,
722,5,False,False,0->0,,,,,16,497,"327,454,214,16,609"
722,10,False,False,0->0,,,,,16,2143,"322,164,931,280,84,648,93,772,618,744"
722,20,False,False,0->0,,,,,16,4119,"566,986,700,740,437,45,65,298,247,11,194,441,572,777,929,728,524,249,802,863"
242,0,False,False,0->0,,,,,16,16,
242,5,False,False,0->0,,,,,16,411,"407,777,720,642,759"
242,10,False,False,0->0,,,,,16,2089,"253,439,43,951,974,594,773,868,890,482"
242,20,False,False,0->0,,,,,16,3084,"519,217,223,655,716,228,168,483,899,887,156,97,703,64,302,113,527,793,178,606"
4255,0,False,False,0->0,,,,,16,16,
4255,5,False,False,0->0,,,,,16,1035,"324,372,207,607,225"
4255,10,False,False,0->0,,,,,16,1040,"338,173,2,837,414,85,625,744,888,356"
