event,layer,n1_distance_mm,passes_0p5
1068.0,1302,0.046839832603394374,True
1070.0,1304,1.2945859251976688,False
1070.0,1304,0.8630260561936951,False
1070.0,1302,0.6810713270824762,False
1070.0,1302,0.7847873093128406,False
1079.0,1304,0.19384480086099493,True
1079.0,1304,0.5083330742388417,False
1079.0,1302,0.2943947131781028,True
1079.0,1302,0.17326966552316908,True
1091.0,1304,0.6345078470730848,False
1091.0,1304,1.2355839334714096,False
1091.0,1302,0.011979917185084859,True
1091.0,1302,2.0120558255318906,False
1157.0,1304,0.4464363849607595,True
1157.0,1304,0.22888785380187363,True
1157.0,1302,0.29250745146768975,True
1157.0,1302,0.6293740818768492,False
1164.0,1304,0.5168779851976704,False
1164.0,1304,1.5582200660424657,False
1164.0,1302,0.8035784589306076,False
1164.0,1302,0.4827159904484707,True
1181.0,1304,0.3529024604936771,True
1181.0,1304,1.0982393009896037,False
1181.0,1302,0.08421805008331651,True
1181.0,1302,1.4448334204428703,False
1189.0,1304,0.3585530312833723,True
1189.0,1304,0.577334716661648,False
1189.0,1302,0.0525408024346998,True
1189.0,1302,0.574487937063361,False
1194.0,1304,0.044135425729479864,True
1194.0,1304,1.8285766134499717,False
1194.0,1302,0.8880861684549625,False
1194.0,1302,0.39702907599655735,True
1224.0,1304,0.5052326219728839,False
1224.0,1304,0.3649545589769472,True
1224.0,1302,0.148914064531725,True
1224.0,1302,0.3104431986409446,True
1259.0,1304,0.9410935706428255,False
1259.0,1304,0.1932826843722265,True
1259.0,1302,0.42003931716202586,True
1259.0,1302,0.04690553667840354,True
1278.0,1304,0.5996062458198195,False
1278.0,1304,0.17965385538120576,True
1278.0,1302,0.23145637943322306,True
1278.0,1302,1.168746664200022,False
1281.0,1304,0.29271221357573385,True
1281.0,1304,0.27037682172009314,True
1281.0,1302,0.5023608330890338,False
1281.0,1302,0.01248794094713103,True
1287.0,1304,2.3216210146813583,False
1287.0,1304,2.0999890292256875,False
1287.0,1302,1.3109177819751143,False
1287.0,1302,0.7609226260722003,False
1300.0,1304,0.8306081052906322,False
1300.0,1304,0.7063291866836389,False
1300.0,1302,0.6334025024851764,False
1300.0,1302,0.3583213564412366,True
1322.0,1304,0.4527023590435408,True
1322.0,1304,0.6396097521955536,False
1322.0,1302,0.2990781553012514,True
1322.0,1302,0.4728289931248109,True
1344.0,1304,0.720782017140512,False
1344.0,1304,0.3255175152872067,True
1344.0,1302,0.09413786796136354,True
1344.0,1302,0.34691033291061607,True
1365.0,1304,0.7182098066876181,False
1365.0,1304,0.8686567201057624,False
1365.0,1302,0.4131210558782138,True
1365.0,1302,0.6491108682872226,False
1380.0,1304,0.7482895704003044,False
1380.0,1304,0.33079482319244036,True
1380.0,1302,0.308722040877598,True
1380.0,1302,0.8885667118129983,False
1438.0,1304,0.7416746167401314,False
1438.0,1304,0.36335419393999474,True
1438.0,1302,2.2505074239205896,False
1438.0,1302,0.11806923601803741,True
1456.0,1304,0.8768189651993261,False
1456.0,1304,0.9987826443784602,False
1456.0,1302,0.139542881495242,True
1456.0,1302,2.276595404118982,False
1473.0,1304,0.6328469810420105,False
1473.0,1304,1.5241485564344932,False
1473.0,1302,0.7586223805246006,False
1473.0,1302,1.4770189893323002,False
1507.0,1304,0.662922019847533,False
1507.0,1304,1.0976296059027904,False
1507.0,1302,0.8479026165607936,False
1507.0,1302,0.3598515084432691,True
1518.0,1304,1.4653442233762455,False
1518.0,1304,1.0390087888919917,False
1518.0,1302,1.0779770759182976,False
1518.0,1302,1.1584046839528757,False
1525.0,1304,1.0719943279357804,False
1525.0,1304,0.5628968885062472,False
1525.0,1302,0.1320937560510835,True
1525.0,1302,0.08153065913914151,True
1603.0,1304,0.5696746611850954,False
1603.0,1304,1.4865554339979667,False
1603.0,1302,0.38428491346148747,True
1603.0,1302,1.499100814271837,False
1610.0,1304,0.4434178042697994,True
1610.0,1304,0.08505724844872603,True
1610.0,1302,0.18131244158454177,True
1610.0,1302,0.3770665017490213,True
1676.0,1304,0.3030136493923231,True
1676.0,1304,0.3659693146517087,True
1676.0,1302,0.041692289918739876,True
1676.0,1302,0.13836444540350712,True
1703.0,1304,0.2092097428838496,True
1703.0,1304,0.07788392592096649,True
1703.0,1302,1.0478228762922506,False
1703.0,1302,0.9746679198372031,False
1712.0,1304,0.3156612750300617,True
1712.0,1304,1.2443557235598748,False
1712.0,1302,1.4893616217443797,False
1712.0,1302,1.4472992347502471,False
1735.0,1304,0.20091348663171693,True
1735.0,1304,1.6406230299378577,False
1735.0,1302,0.3576515255427383,True
1735.0,1302,0.028386393118347078,True
1749.0,1304,1.3992583650752575,False
1749.0,1304,0.4545996748317608,True
1749.0,1302,1.132898855271159,False
1749.0,1302,0.5535688184260851,False
1771.0,1304,0.9079654575003637,False
1771.0,1304,0.6480663937535426,False
1771.0,1302,1.2154551415998818,False
1771.0,1302,1.5514908661816829,False
1785.0,1304,0.5131001491478158,False
1785.0,1304,1.1186969586278903,False
1785.0,1302,0.1680600923744539,True
1785.0,1302,0.7364866584195096,False
1786.0,1304,0.001335814707130813,True
1786.0,1304,0.47249111755893564,True
1786.0,1302,1.0291793533314335,False
1786.0,1302,0.31342486964846716,True
1802.0,1304,0.6574001619958826,False
1802.0,1304,0.8093033972914694,False
1802.0,1302,0.0020048942535757413,True
1802.0,1302,0.4236759005123921,True
1900.0,1304,0.656834989749664,False
1900.0,1304,1.4733010806813402,False
1900.0,1302,0.41243474348450565,True
1900.0,1302,0.9457988311967501,False
1902.0,1304,0.8939594882777259,False
1902.0,1304,1.2291304360927304,False
1902.0,1302,0.24222232582514017,True
1902.0,1302,0.1818497877772736,True
1909.0,1304,1.3299951990914654,False
1909.0,1304,0.07989863564358114,True
1909.0,1302,1.2327389077868998,False
1909.0,1302,0.8448533186331841,False
1920.0,1304,0.7130593883437499,False
1920.0,1304,1.1118259840658786,False
1920.0,1302,1.8730006563622912,False
1920.0,1302,0.4595141565812233,True
1925.0,1304,0.14947409907882309,True
1925.0,1304,0.06756264662364778,True
1925.0,1302,0.7305942949379227,False
1925.0,1302,1.139281709858187,False
1927.0,1304,1.063400619513146,False
1927.0,1304,0.3688583493478332,True
1927.0,1302,0.3936298721080604,True
1927.0,1302,0.48555610327318344,True
1968.0,1304,0.3900773248103743,True
1968.0,1304,0.7863859823702627,False
1968.0,1302,0.7369723328872995,False
1968.0,1302,0.8400473734298076,False
1974.0,1304,0.5043188072276732,False
1974.0,1304,0.7574077785384359,False
1974.0,1302,0.025524983765911058,True
1974.0,1302,0.250041053205599,True
1983.0,1304,0.96501742823843,False
1983.0,1304,1.076587025509945,False
1983.0,1302,1.1265028637279937,False
1983.0,1302,0.7107759425347665,False
2045.0,1304,0.21668775209123953,True
2045.0,1304,0.7382943439504507,False
2045.0,1302,0.40905829430290114,True
2045.0,1302,0.3525659735375536,True
2129.0,1304,0.653112537368865,False
2129.0,1304,0.7254598884389156,False
2129.0,1302,0.8200810104031577,False
2129.0,1302,0.8262259002808295,False
2139.0,1304,0.9246800316820499,False
2139.0,1304,0.34626569970174786,True
2139.0,1302,0.032680141270471516,True
2139.0,1302,0.30208836088669827,True
2145.0,1304,0.29509101029600326,True
2145.0,1304,0.44638315510867743,True
2145.0,1302,2.8920393036097067,False
2145.0,1302,0.022457060302713758,True
2168.0,1304,0.29767283180370735,True
2168.0,1304,0.33417434826548276,True
2168.0,1302,0.12888669932688074,True
2168.0,1302,0.7791272113509586,False
2213.0,1304,0.9774973178085059,False
2213.0,1304,0.9146161158044067,False
2213.0,1302,0.10866137478565947,True
2213.0,1302,0.13242578383085107,True
2231.0,1304,2.9780902129330533,False
2231.0,1304,0.4555400037196813,True
2231.0,1302,2.454413118306177,False
2231.0,1302,0.05549280570626496,True
2265.0,1304,0.7348226146050696,False
2265.0,1304,0.39809893224753445,True
2265.0,1302,0.7270876706271499,False
2265.0,1302,1.2682865911830816,False
2271.0,1304,0.6881093167084874,False
2271.0,1304,0.35100708916833456,True
2271.0,1302,0.2611768585046874,True
2271.0,1302,0.9914962495786025,False
2274.0,1304,0.9405921348568541,False
2274.0,1304,0.5921305049316966,False
2274.0,1302,0.02139283004211043,True
2274.0,1302,0.40188247597680876,True
2302.0,1304,1.1622772255185814,False
2302.0,1304,0.1077315060091926,True
