event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,n_merged
29.0,-1,3,186,-77.6031910306562,42.54403297595891,-243.6,88.5,2.6401129943502823,47.94022684772855,0.01,1
29.0,1,4,285,-107.0961462801633,59.4698701187237,-337.20000000000005,122.5,2.6346938775510202,47.94022684772855,0.01,1
29.0,-1,4,285,-107.4822344234425,58.76920352824385,-337.20000000000005,122.5,2.6412244897959183,47.94022684772855,0.01,1
31.0,0,1,10,-20.72100697231964,26.003891440572524,-23.0,33.25,2.243609022556391,15.226291791717316,0.01,2
31.0,1,2,31,-31.390967344368743,39.55827560934341,-35.2,50.49999999999999,2.241584158415842,15.226291791717316,0.01,1
31.0,-1,2,31,-31.54738719367213,39.43364504141777,-35.2,50.49999999999999,2.2455445544554453,15.226291791717316,0.01,1
31.0,1,3,77,-54.71356519155744,69.56059073950706,-61.6,88.50000000000001,2.23728813559322,15.226291791717316,0.01,1
31.0,-1,3,77,-55.57391156317175,68.87517951750662,-61.6,88.50000000000001,2.249717514124294,15.226291791717316,0.01,1
31.0,1,4,118,-75.36522866080766,96.57293776676867,-85.2,122.5,2.233469387755102,15.226291791717316,0.01,1
31.0,-1,4,118,-77.32027413001322,95.01486835469282,-85.2,122.5,2.2538775510204085,15.226291791717316,0.01,1
32.0,0,1,8,-13.403565036902329,30.42870880109189,-10.0,33.25,1.9857142857142858,23.78242138601016,0.01,2
32.0,1,2,26,-20.28537081467516,46.24666183532738,-15.2,50.50000000000001,1.984158415841584,23.78242138601016,0.01,1
32.0,-1,2,26,-20.4226474495248,46.18620433801005,-15.2,50.50000000000001,1.9871287128712873,23.78242138601016,0.01,1
32.0,1,3,66,-35.36817972250695,81.12546987917204,-26.8,88.50000000000001,1.981920903954802,23.78242138601016,0.01,1
32.0,-1,3,66,-35.96305721029052,80.86351783152506,-26.8,88.50000000000001,1.989265536723164,23.78242138601016,0.01,1
32.0,1,4,101,-48.64840201397293,112.42589995853658,-37.2,122.5,1.979183673469388,23.78242138601016,0.01,1
32.0,-1,4,101,-50.11263063884929,111.78092078013252,-37.2,122.5,1.9922448979591838,23.78242138601016,0.01,1
33.0,0,1,20,-23.177715299789895,-23.840205294460098,-74.5,33.25,-2.342105263157895,10.103415163726345,0.01,2
33.0,1,2,62,-35.29083000822425,-36.122116733804766,-113.2,50.5,-2.344554455445545,10.103415163726345,0.01,1
33.0,-1,2,62,-35.111575936184614,-36.29638047075137,-113.2,50.5,-2.33960396039604,10.103415163726345,0.01,1
33.0,1,3,155,-62.24344545754969,-62.91266563715956,-198.0,88.5,-2.3508474576271188,10.103415163726345,0.01,1
33.0,-1,3,155,-61.09593131922989,-64.02762822591465,-198.0,88.5,-2.3327683615819215,10.103415163726345,0.01,1
33.0,1,4,239,-86.70268982573701,-86.5383936584337,-274.40000000000003,122.5,-2.357142857142857,10.103415163726345,0.01,1
33.0,-1,4,239,-84.0133472750848,-89.15159830107368,-274.40000000000003,122.5,-2.326530612244898,10.103415163726345,0.01,1
34.0,0,1,19,29.38098686164132,-15.566634544308538,71.0,33.25,-0.487218045112782,30.938474815687428,0.01,2
34.0,1,2,60,44.602439950721205,-23.68274372707498,108.0,50.5,-0.4881188118811881,30.938474815687428,0.01,1
34.0,-1,2,60,44.64924899514194,-23.59437568934207,108.0,50.5,-0.4861386138613861,30.938474815687428,0.01,1
34.0,1,3,149,78.06997997479824,-41.68126949523732,188.8,88.5,-0.4903954802259889,30.938474815687428,0.01,1
34.0,-1,3,149,78.3275068267885,-41.19528703989571,188.8,88.5,-0.4841807909604521,30.938474815687428,0.01,1
34.0,1,4,229,107.95608081656778,-57.89416736361865,261.6,122.5,-0.49224489795918375,30.938474815687428,0.01,1
