event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,beamspot_z0
1.0,-1,8,491,-222.89874123727404,463.15456508042615,24.584018093717546,514.0,2.0193415653652345,8.927509450638745,0.01,13.71226858894941
3.0,1,1,20,-30.071074721148207,14.187775199625955,-110.04928478082229,33.25,2.7007518796992485,202.0249609270577,0.01,-46.7992847808223
3.0,1,2,57,-45.65564317186158,21.582683951808423,-142.7992847808223,50.5,2.7,202.0249609270577,0.01,-46.7992847808223
3.0,1,3,139,-79.98900280625483,37.868316968951184,-214.7992847808223,88.5,2.699435028248588,202.0249609270577,0.01,-46.7992847808223
3.0,1,4,212,-110.7060625129116,52.44442508872901,-279.5992847808223,122.5,2.699183673469388,202.0249609270577,0.01,-46.7992847808223
3.0,1,5,591,-270.0193081079672,128.4156269653141,-615.7223459320547,299.0,2.697671665525089,202.0249609270577,0.01,-46.7992847808223
3.0,1,6,746,-334.93366373077413,159.56328180342973,-751.3988609523514,371.0,2.697000510661969,202.0249609270577,0.01,-46.7992847808223
3.0,1,7,900,-399.78065036903575,190.85185770778023,-888.8620883979523,443.0,2.6961949313794578,202.0249609270577,0.01,-46.7992847808223
3.0,1,8,1053,-463.719433134629,221.7211927924306,-1023.0841010546851,513.9999999999999,2.695588316616808,202.0249609270577,0.01,-46.7992847808223
3.0,-1,1,20,-30.071074721148207,14.187775199625955,-110.04928478082229,33.25,2.7007518796992485,202.0249609270577,0.01,-46.7992847808223
3.0,-1,2,57,-45.655643171861584,21.582683951808445,-142.7992847808223,50.50000000000001,2.7,202.0249609270577,0.01,-46.7992847808223
3.0,-1,3,139,-80.03174079200461,37.77790975955903,-214.7992847808223,88.5,2.7005649717514126,202.0249609270577,0.01,-46.7992847808223
3.0,-1,4,212,-110.791538479465,52.26361068040772,-279.5992847808223,122.5,2.7008163265306124,202.0249609270577,0.01,-46.7992847808223
