pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi
5,476,2212,1.0,0.93827,2.504720925231141,0.8315297924080656,2,71,30.00625080079903,40.6186522779812,47.00472692327829,50.49999999999999,0.9345465830582589
5,476,2212,1.0,0.93827,2.504720925231141,0.8315297924080656,3,125,53.660196102539345,70.37636928854046,82.38620335943027,88.5,0.9193591425067817
5,476,2212,1.0,0.93827,2.504720925231141,0.8315297924080656,4,173,75.59291996994833,96.39481547478054,114.05919521749709,122.50000000000001,0.9057633772041126
5,476,2212,1.0,0.93827,2.504720925231141,0.8315297924080656,5,424,200.68622768425539,221.64394423909542,278.95247586488085,299.00000000000006,0.8349814994511474
5,476,2212,1.0,0.93827,2.504720925231141,0.8315297924080656,6,527,256.88911331424356,267.67327744962097,346.5754581475642,371.00000000000006,0.8059536691086471
5,476,2212,1.0,0.93827,2.504720925231141,0.8315297924080656,7,631,315.9303557484553,310.5430893075138,414.49403181418387,443.00000000000006,0.7767990221325656
5,476,2212,1.0,0.93827,2.504720925231141,0.8315297924080656,8,733,376.8234481113733,349.5712930912021,481.81967915570937,514.0,0.7478987457578321
5,477,211,1.0,0.13957,0.3822052194730134,0.4105144426075722,1,38,26.050123276057743,20.662855013337207,14.05402428919732,33.25,0.6705784037435788
5,477,211,1.0,0.13957,0.3822052194730134,0.4105144426075722,2,58,40.94942089202934,29.553255803843875,21.38078728244332,50.50000000000001,0.6251426935807488
5,477,211,1.0,0.13957,0.3822052194730134,0.4105144426075722,3,102,76.62947821389757,44.273841810552184,37.70227249509488,88.5,0.5239098787007527
5,477,211,1.0,0.13957,0.3822052194730134,0.4105144426075722,4,142,111.28443723859205,51.20570308559258,52.64277766758698,122.49999999999999,0.43124896067809915
5,477,211,1.0,0.13957,0.3822052194730134,0.4105144426075722,5,393,296.01274047865627,-42.159903632666065,144.98499082749896,299.0,-0.1414744861365614
5,477,211,1.0,0.13957,0.3822052194730134,0.4105144426075722,6,582,311.7190209240003,-201.1771656878153,214.58081113998028,371.0,-0.5731204311620645
5,478,211,1.0,0.13957,1.0227771175974936,1.2676295975670344,1,63,23.393345665831102,23.628666457482137,54.38870562711012,33.25000000000001,0.7904026031594036
5,478,211,1.0,0.13957,1.0227771175974936,1.2676295975670344,2,97,36.1308508246825,35.28188796938934,82.62447041225356,50.5,0.7735106083316518
5,478,211,1.0,0.13957,1.0227771175974936,1.2676295975670344,3,170,65.57822709551282,59.42849595109528,144.91986664190102,88.5,0.736242589531198
5,478,211,1.0,0.13957,1.0227771175974936,1.2676295975670344,4,236,93.47206928895562,79.17842043663589,200.82687774897215,122.5,0.7027970320048816
5,478,211,1.0,0.13957,1.0227771175974936,1.2676295975670344,5,583,258.57363513924423,150.13552281481225,496.2612550816549,299.0,0.5260548288985128
5,478,211,1.0,0.13957,1.0227771175974936,1.2676295975670344,6,729,333.82876249252024,161.86215534433157,620.9390109404857,371.0,0.45146712392554317
5,478,211,1.0,0.13957,1.0227771175974936,1.2676295975670344,7,880,412.27316163161476,162.11058015525205,749.3587783164534,442.99999999999994,0.37464062491771993
5,478,211,1.0,0.13957,1.0227771175974936,1.2676295975670344,8,1035,491.64831219913293,149.92643900174463,880.8298092647304,513.9999999999999,0.29598867997646394
5,479,-211,-1.0,0.13957,0.2194187275967631,0.0413011677269058,1,39,-14.715461597628671,29.816399681529553,1.3789790068412273,33.25,2.0292592411265904
