event,px,py,pz,E,pT,eta,phi
8800,1.3311803357,-0.23453640846,2.2198882469,2.5990290959,1.3516835476721911,1.271198397322044,-0.1743969717610752
8801,-25.315293745,4.8030780406,4.8716755384,26.223403262,25.766910099189815,0.18795845426048577,2.9540910320116245
8802,35.86956605,-4.896559755,7.8559657427,37.044814263,36.2022384121424,0.21533421515827286,-0.13567154772957796
8803,-4.4034252774,-6.2937363145,2.6018493152,8.1099254515,7.681228480529747,0.33256408913890656,-2.181288704216583
8804,0.072966593496,-1.4363805744,-1.5683025556,2.1279300233,1.4382326926753142,-0.9438990159095758,-1.5200410272539886
8805,-1.9551308174,2.7364019221,0.67256315107,3.4296899546,3.363098570131385,0.19867361822734167,2.1911808299968705
8806,-12.580099109,-5.1539621459,0.9728353432,13.629696548,13.59493359283644,0.07149773750797087,-2.7527593869856424
8807,1.2940172532,-1.4885183883,-4.4194727646,4.8396184933,1.972350791285998,-1.546379781140884,-0.8551853292282735
8808,-87.59506016,-47.090879239,-168.55742136,195.70909475,99.45071881055512,-1.2982235536984983,-2.648321408390966
8809,-2.5192068692,-40.806679924,-8.6295456385,41.785171863,40.884367790998176,-0.20953536197202582,-1.6324532355923758
8810,9.4157289708,-5.2044726243,36.485297348,38.038393892,10.758368247492301,1.9354331846890052,-0.5049462615057807
8811,39.780610809,-264.39960182,-763.4100749,808.8785996,267.3754783799585,-1.7716336347377732,-1.4214600574641423
8812,-4.1610339669,6.1292358782,-8.946629044,11.615675072,7.408220847430892,-1.0208691932826022,2.1672087669589417
8813,0.9662866331,-4.9934286101,-4.0409324495,6.4959352062,5.086063226255937,-0.7283762142232808,-1.3796472734662357
8814,-11.958429284,58.599938842,-140.53118941,152.72842584,59.807665589174846,-1.5899244357283562,1.7721012807959726
8815,-46.850010208,79.310495886,-131.85060831,160.84048348,92.1144842800139,-1.1560855608437697,2.1043616811651176
8816,0.45564226304,4.5249760856,2.6603719405,5.2688326324,4.547858666132899,0.5558962252010483,1.470439647556524
8817,56.12466553,55.431133592,459.23457658,465.96028262,78.88338641405123,2.4620337333354985,0.7791813373007296
8818,-25.942196596,-4.9991805098,129.78463359,132.44636834,26.41948845066986,2.2951238653475574,-2.9512216452487805
8819,-4.2670420294,-8.2250818236,42.531553916,43.529216593,9.266046551015226,2.228696869696162,-2.0493580766824193
8820,-0.09062258394,0.49659033333,-0.77493798046,0.92484770932,0.5047914538467969,-1.214112075959546,1.7512997071490373
8821,-51.737784881,-32.410046918,-10.853900919,62.008198577,61.05087653440853,-0.17686104854698603,-2.58196642940029
8822,-0.58714687387,-0.014728142703,0.36853663564,0.69338129589,0.5873315670750157,0.5922424109649369,-3.116513656419283
8823,-1.6774174395,1.0998874813,-8.9840250894,9.2052261539,2.005861844160558,-2.2047570127266405,2.561218805112514
8824,10.951509215,-5.7302070491,-6.7090636216,14.063511709,12.360049632254121,-0.519164155434652,-0.48206194000877967
8825,24.756112524,-2.4097379932,136.33929353,138.58959161,24.87311690353304,2.4027248869524422,-0.09703342109405004
8826,-15.850630819,31.300627713,-14.693522904,38.037762919,35.085207603604914,-0.40742933244305135,2.039550638279705
8827,-91.10914028,-125.06334588,-256.10290018,299.21632877,154.73110846000307,-1.2778543093870511,-2.2003974216667457
8828,-0.64290384567,0.22376962939,1.3063092385,1.4730383663,0.6807335762356762,1.4068004993113479,2.8066464465454666
8829,3.7109568119,6.1900424257,-33.827191317,34.5885342,7.217189597880393,-2.2491370786650635,1.0307414199900298
8830,-6.7621916839,-15.120365956,16.414962824,23.319599214,16.56359571509671,0.8750141313322027,-1.9913393952682379
