trial,event,mode,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double,reason
11,8,pixel_only,True,0.05189539371020332,0.6743667984692865,16,True,True,pass
11,8,rphi_only,True,0.05189538497383111,0.6760934089614475,16,True,True,pass
11,8,z_only,False,0.264438702878796,0.533039581168868,10,False,False,final_ds_fail
11,8,full,False,0.266019457696392,0.5361493095608838,10,False,False,final_ds_fail
11,9,pixel_only,True,0.05189122613973578,0.5902107297413578,16,True,True,pass
11,9,rphi_only,True,0.05189182452373396,0.594081334948613,16,True,True,pass
11,9,z_only,False,0.2322085807145206,1.2062149926636123,9,False,False,final_ds_fail
11,9,full,False,0.264136603856933,1.2341055224185649,10,False,False,final_ds_fail
11,10,pixel_only,True,0.0518965018054869,0.586877276633826,16,True,True,pass
11,10,rphi_only,True,0.051896450266140794,0.5858031641174446,16,True,True,pass
11,10,z_only,False,0.21145965551725499,0.7184200596531108,8,False,False,final_ds_fail
11,10,full,False,0.2097546432095581,0.7162233468869903,8,False,False,final_ds_fail
11,11,pixel_only,True,0.051892409873463906,0.581682142651992,16,True,True,pass
11,11,rphi_only,True,0.05189326741506009,0.5875543838943369,16,True,True,pass
11,11,z_only,False,0.23121490557994254,1.0882791557108629,10,False,False,final_ds_fail
11,11,full,False,0.2378640273484062,1.0882283536808974,10,False,False,final_ds_fail
11,12,pixel_only,True,0.051895686888812805,0.7868434159869027,16,True,True,pass
11,12,rphi_only,True,0.05189567981093394,0.7784667817315896,16,True,True,pass
11,12,z_only,False,,,0,False,False,seed_ds_fail
11,12,full,False,,,0,False,False,seed_ds_fail
11,13,pixel_only,True,0.05188916918132203,0.5892936843600265,16,True,True,pass
11,13,rphi_only,True,0.05188954427799628,0.5908921361930862,16,True,True,pass
11,13,z_only,False,0.3009648843979715,1.235345838603247,10,False,False,final_ds_fail
11,13,full,False,0.31117294837935033,1.2359019892158327,10,False,False,final_ds_fail
11,14,pixel_only,True,0.05189583303098771,0.6942939430103836,16,True,True,pass
11,14,rphi_only,True,0.05189580518457216,0.696860297948769,16,True,True,pass
11,14,z_only,False,0.2938985131668616,0.7493581151515561,13,False,False,final_ds_fail
11,14,full,False,0.29295675993962045,0.7568304891336632,13,False,False,final_ds_fail
11,15,pixel_only,True,0.05189434769169135,0.6116087866043028,16,True,True,pass
11,15,rphi_only,True,0.05189463778743727,0.6130818119226549,16,True,True,pass
11,15,z_only,False,0.2628399928644006,0.8529553993675681,9,False,False,final_ds_fail
11,15,full,False,0.2670568536014903,0.8532717220342353,9,False,False,final_ds_fail
12,0,pixel_only,True,0.05189235622167547,0.8965408911602595,16,True,True,pass
12,0,rphi_only,True,0.051892432234308124,0.9043340557277386,16,True,True,pass
12,0,z_only,False,,,0,False,False,seed_ds_fail
12,0,full,False,,,0,False,False,seed_ds_fail
12,1,pixel_only,True,0.05189364927196712,0.7249645659980073,16,True,True,pass
12,1,rphi_only,True,0.051893956450885154,0.7248180042800872,16,True,True,pass
12,1,z_only,False,0.36545823623375995,1.565908508466383,9,False,False,final_ds_fail
12,1,full,False,0.36195604853428687,1.566980723404853,9,False,False,final_ds_fail
12,2,pixel_only,True,0.05188484672837014,0.6045982117788054,16,True,True,pass
